                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 0.5047,                0.51186,                0.34622,                 1.0122,                0.99151,                0.98943,                0.99446,                0.90627,                0.99151,                0.98943,                0.99446,                0.93351,                0.49463,                0.45852,                0.28851,                0.99538,              0.0015248,              0.0015248,              0.0015248
                     26,                0.51069,                0.54506,                0.36131,                 1.0296,                0.97803,                0.97674,                0.99255,                0.90053,                0.97803,                0.97674,                0.99255,                0.92687,                0.47622,                0.46634,                0.29625,                0.96004,               0.001505,               0.001505,               0.001505
                     27,                0.52184,                0.54226,                0.34943,                 1.0478,                0.97985,                0.98309,                0.99331,                0.88347,                0.97985,                0.98309,                0.99331,                0.92743,                0.52575,                0.44785,                0.29353,                 1.0067,              0.0014852,              0.0014852,              0.0014852
                     28,                0.47726,                0.52489,                 0.3285,                 1.0035,                0.98855,                0.99366,                0.99435,                0.91364,                0.98855,                0.99366,                0.99435,                0.93789,                0.47122,                0.43041,                0.26604,                0.96234,              0.0014654,              0.0014654,              0.0014654
                     29,                0.49224,                0.50317,                0.32565,                 1.0033,                0.99293,                0.99366,                0.99474,                0.89555,                0.99293,                0.99366,                0.99474,                0.92863,                0.50536,                0.43952,                0.29274,                0.99753,              0.0014456,              0.0014456,              0.0014456
                     30,                0.48247,                0.50928,                0.32226,                 1.0079,                0.98727,                0.99154,                0.99472,                0.90656,                0.98727,                0.99154,                0.99472,                0.92789,                0.47382,                0.43769,                0.27864,                 0.9936,              0.0014258,              0.0014258,              0.0014258
                     31,                0.48032,                0.50631,                0.32833,                 1.0185,                0.99358,                0.98145,                0.99446,                0.88249,                0.99358,                0.98145,                0.99446,                0.91694,                0.54012,                0.45725,                0.31496,                  1.055,               0.001406,               0.001406,               0.001406
                     32,                0.47308,                0.51281,                0.31988,                0.99694,                0.98313,                0.98589,                0.99367,                 0.9073,                0.98313,                0.98589,                0.99367,                0.93419,                0.46841,                0.43322,                0.28442,                 0.9335,              0.0013862,              0.0013862,              0.0013862
                     33,                0.48449,                0.51051,                0.32522,                  1.007,                0.98014,                0.98732,                0.99337,                0.91389,                0.98014,                0.98732,                0.99337,                0.93594,                0.46185,                0.44152,                0.27548,                0.95188,              0.0013664,              0.0013664,              0.0013664
                     34,                0.45924,                0.48869,                0.31121,                0.97946,                0.98917,                0.98732,                0.99464,                0.90761,                0.98917,                0.98732,                0.99464,                0.93771,                0.47982,                0.44449,                0.27021,                0.97786,              0.0013466,              0.0013466,              0.0013466
